1password-beta 8.12.2_22.BETA-22
1password-cli 2.32.0-2
aether 2.20.4-1
alacritty 0.16.1-1
asdcontrol 0.23.0ee8bd5-1
base 3-2
bat 0.26.1-1
bear 4.0.0-2
bluetui 0.8.0-1
bolt 0.9.10-1
boost 1.89.0-3
brightnessctl 0.5.1-3
btop 1.4.6-1
capstone 5.0.6-1
clang 21.1.6-1
claude-code 2.1.31-1
cmake-extras 1.9-1
composer 2.9.3-1
cups-pdf 3.0.2-1
cursor-bin 2.4.27-1
cursor-cli 1:2026.01.02.1.80e4d9b-1
deluge-gtk 1:2.2.0-1
docker 1:29.1.3-1
docker-compose 5.0.1-1
dotnet-runtime-9.0 9.0.11.sdk112-1
dropbox-cli 2024.04.17-2
dust 1.2.3-1
expac 10-12
eza 0.23.4-1
fastfetch 2.56.1-2
fcitx5-gtk 5.1.4-2
fcitx5-qt 5.1.11-3
ffmpegthumbnailer 2.3.0-1
firefox 146.0.1-1
fprintd 1.94.5-1
fwupd 2.0.19-1
ghostty 1.2.3-2
glfw 1:3.4-1
gnome-calculator 49.2-1
gnome-disk-utility 46.1-2
gnome-themes-extra 1:3.28-1
gpu-screen-recorder r1257.640e377-1
gum 0.17.0-1
hex 0.7.0-1
hypridle 0.1.7-6
hyprland-preview-share-picker 0.2.1-1
hyprlock 0.9.2-8
hyprpicker 0.4.5-8
hyprsunset 0.3.3-4
impala 0.7.0-1
imv 5.0.1-1
inetutils 2.6-1
intel-ucode 20251111-1
inxi 3.3.40.1-1
kdenlive 25.12.0-5
lazydocker 0.24.2-1
lazygit 0.58.0-1
lcov 2.4-1
libc++ 21.1.6-1
limine-snapper-sync 1.19.1-1
localsend 1.17.0-2
lua51 5.1.5-13
luarocks 3.13.0-1
mako 1.10.0-1
mise 2025.11.3-1
mpv 1:0.41.0-2
nautilus-dropbox 2025.05.20-1
nmap 7.98-3
obs-studio 32.0.2-2
obsidian 1.10.6-1
omarchy-chromium 144.0.7559.132-24
omarchy-keyring 20251027-1
omarchy-nvim 2025.11.20-1
omarchy-walker 1.0.0-2
onetbb 2022.3.0-2
openai-codex 0.79.0-1
openvpn 2.6.17-1
pam-u2f 1.4.0-2
pamixer 1.6-3
php-sqlite 8.5.1-1
pinta 3.1-1
plymouth 24.004.60-14
polkit-gnome 0.105-12
power-profiles-daemon 0.30-1
python-poetry-core 2.2.1-1
python-terminaltexteffects 0.14.2-1
remmina 1:1.4.41-1
ripgrep-all 0.10.10-1
rust 1:1.92.0-1
satty 0.20.0-1
sddm 0.21.0-6
signal-desktop 7.83.0-1
sof-firmware 2025.12-1
speedtest-cli 2.1.3-9
spotify 1:1.2.79.427-2
sshfs 3.7.3-3
starship 1.24.2-1
stow 2.4.1-1
sushi 46.0-2
swaybg 1.2.1-1
swayosd 0.2.1-2
system-config-printer 1.5.18-5
tailscale 1.92.3-1
tldr 3.4.3-2
tobi-try 0.1.0-1
tree-sitter-cli 0.25.10-1
ttf-ia-writer 20181225-1
typora 1.12.4-1
tzupdate 3.1.0-1
ufw-docker 250710-1
visual-studio-code-bin 1.108.2-1
waybar 0.14.0-5
wayfreeze 0.1.0-1
whois 5.6.5-1
wiremix 0.8.0-1
woff2-font-awesome 7.1.0-1
xdebug 3.5.0-1
xdg-terminal-exec 0.14.0-1
xerces-c 3.3.0-3
xmlstarlet 1.6.1-6
xournalpp 1.3.1-1
yaru-icon-theme 25.10.2-1
yay 12.5.7-2
yq 3.4.3-2
zoxide 0.9.8-2
zram-generator 1.2.1-1
